Family_Members,Company_Support,Work_Location,Social_Isolation_Rating,Sleep,Stress_Level,Education_Level,Extroverted,Exercise_Level,Average_Daily_Work_Hours
1,4,1,1.0,4.0,1.598185948118029,1,1,4.0,7.5780963647210875
0,2,1,1.0,1.169697564464779,3.8275888252144967,4,0,0.3938164226278058,11.063990501455734
1,1,1,1.0,3.477512483905036,1.1493100758245016,2,1,2.438587382524181,9.803442755579006
3,1,1,1.0,3.6144539595575362,1.0070352694985165,1,1,2.324262258962597,8.425012162632532
0,3,3,3.2931747202186794,3.2411047310713914,3.5653572839697962,4,0,2.8668527803993387,12.75048253725304
0,4,3,2.1205302631815366,3.094334472284405,3.6730926754408113,4,1,2.3567210899458626,11.235597971009188
0,1,1,1.0,1.8445277943989757,3.6509628633304043,4,1,1.061770645064051,11.032872928956788
0,5,1,2.2411437055277212,4.0,2.1759616583287666,4,0,3.2231483757779786,10.989453791221376
1,3,3,3.8560098135213567,3.295788066765688,2.5447912615938346,2,0,2.3787732173222476,10.40665724695764
0,1,2,1.0,3.1830849021102785,3.080372719407646,4,1,2.7414555654700976,12.483471726085734
1,4,3,2.6993579274308703,4.0,2.963629688228168,2,1,4.0,8.32755541242912
0,5,2,1.3339878318236542,3.216572187550021,2.5833183176253405,3,0,2.5672985062852343,11.622075196518102
2,1,2,3.9598553576471964,2.244596170263552,4.134482740876562,1,0,1.2169841086779076,9.860973270495947
0,5,2,2.5396708000573094,3.596778197245287,2.8200772183881466,4,0,2.6595334687155474,10.309002238190951
1,1,1,2.001820371686104,1.5711054181781379,4.482603714288577,3,0,0.633977459305221,10.30956857063904
3,5,3,4.139476063899541,3.0144056743711793,3.2721336786406803,1,0,2.1020236463594912,10.428892424357976
2,4,2,2.7059700732518355,1.637576008663314,4.345053665278548,1,0,0.638796722176528,10.00610170602525
2,3,1,2.250262087748949,2.774010005566754,3.5301526914496257,1,0,1.588478830991469,9.024792659251043
0,4,3,2.844299930086358,2.151098322378322,4.001511656386554,3,0,1.4738856991348017,11.501249396289431
2,5,1,1.9119383326179649,1.7374714961343027,4.363254222102445,2,0,1.2044816897638804,12.112019623620075
0,3,3,1.412537017910764,4.0,2.1675725899659324,3,1,3.722129819109054,11.502796973452622
0,5,2,1.0,4.0,1.535762473929903,4,1,3.6822297605705456,10.779191138581108
0,1,1,1.584912973999228,3.6379129743564,2.2892450646850904,4,0,3.424128918986912,13.364938999600827
2,5,3,4.149770710118696,4.0,2.893495963252251,3,1,4.0,10.129061109375382
1,5,2,3.145232879325493,4.0,2.7180406554362104,1,0,3.3550646475401544,9.993902235847834
1,1,1,1.8123311525363581,2.3989505884102913,3.4000416240715428,2,0,1.534511632405997,10.656270660956888
1,4,3,4.010426836085197,2.884089282373532,3.8373986564201177,2,0,2.0699043365844934,10.889513553005761
1,3,1,1.0,4.0,1.0,2,1,3.3898315355082405,11.540932975409158
2,1,1,2.496858402086805,4.0,3.000937006881036,2,0,3.081222347780324,8.534085671492047
3,2,1,2.174021437693249,2.204144408971966,3.9307899349759268,1,0,1.0016668947527676,8.930411445061203
1,3,1,1.0,4.0,2.7153502872449424,2,1,3.553140192619487,11.946049502545879
2,1,1,1.0,3.7381966602585965,1.2058026676950822,1,1,2.733478587382505,9.976381744519948
0,4,1,1.0,3.335477152259256,2.175160716059785,4,1,2.818309003986066,12.177158337341313
2,3,2,2.4796896215485154,3.3298220123470204,2.7914033568858003,1,1,1.966119681481942,7.97682686997105
0,1,1,1.0,4.0,1.7012893600295447,4,0,4.0,12.106720492951958
0,1,1,1.0,3.2092648295284505,3.2047186933066407,2,1,2.0352038448459915,9.088118701455988
0,2,3,3.356984896692388,3.374647427551598,1.9412913662211013,3,0,2.2831677123177903,9.531633043535575
0,3,1,1.2572538920607954,1.760933462498913,5.568822438085334,4,0,1.3426116281837661,12.576478703058552
0,1,1,1.0,2.6863272452039055,2.6698510588836,4,1,2.142043238705995,12.065305605338349
1,5,1,1.0,4.0,1.6817723852930935,1,1,3.1441602479346824,8.226487197239289
0,2,1,1.0,2.6667000770393905,3.1095836758452684,3,0,1.965148519330731,11.394948188962248
